reads	unique_genes	unique_isoforms	unique_genes_known	unique_isoforms_known
13150000	18874	192760	17085	49853
13200000	18883	193007	17092	49878
13250000	18893	193279	17094	49903
13300000	18902	193514	17101	49919
13350000	18910	193787	17106	49944
13400000	18917	194026	17108	49965
13450000	18925	194279	17114	49982
13500000	18937	194572	17124	50004
13550000	18945	194816	17129	50021
13600000	18957	195060	17134	50050
13650000	18965	195331	17139	50069
13700000	18971	195583	17143	50090
13750000	18978	195835	17148	50112
13800000	18983	196100	17148	50134
13850000	18993	196354	17156	50161
13900000	18998	196598	17159	50176
13950000	19009	196845	17168	50198
14000000	19012	197082	17169	50213
14050000	19021	197325	17175	50234
14100000	19028	197561	17180	50250
14150000	19039	197791	17183	50267
14200000	19047	198020	17190	50287
14250000	19060	198281	17201	50320
14300000	19066	198531	17202	50332
14350000	19070	198757	17204	50348
14400000	19079	198993	17210	50370
14450000	19088	199254	17215	50394
14500000	19094	199504	17218	50414
14550000	19100	199730	17220	50434
14600000	19108	199960	17227	50464
14650000	19116	200176	17232	50478
14700000	19124	200402	17239	50496
14750000	19134	200630	17248	50515
14800000	19140	200869	17253	50531
14850000	19148	201123	17256	50560
14900000	19159	201379	17263	50586
14950000	19171	201617	17272	50610
15000000	19178	201821	17276	50628
15050000	19185	202073	17279	50657
15100000	19194	202296	17285	50680
15150000	19202	202520	17290	50696
15200000	19208	202733	17291	50712
15250000	19215	202954	17297	50735
15300000	19219	203181	17298	50753
15350000	19229	203396	17308	50777
15400000	19237	203601	17313	50799
15450000	19245	203824	17320	50818
15500000	19256	204052	17327	50834
15550000	19269	204280	17335	50852
15600000	19272	204469	17337	50864
15650000	19278	204692	17341	50884
15700000	19285	204903	17346	50901
15750000	19292	205091	17350	50917
15800000	19302	205334	17353	50937
15850000	19309	205549	17356	50961
15900000	19317	205750	17364	50979
15950000	19325	205968	17369	50995
16000000	19329	206165	17372	51010
16050000	19337	206365	17380	51024
16100000	19344	206589	17382	51044
16150000	19356	206811	17392	51062
16200000	19366	207037	17399	51081
16250000	19371	207245	17403	51097
16300000	19377	207445	17407	51122
16350000	19385	207654	17413	51136
16400000	19393	207883	17418	51154
16450000	19401	208113	17423	51169
16500000	19406	208325	17427	51183
16550000	19411	208544	17431	51196
16600000	19415	208722	17433	51205
16650000	19422	208934	17437	51220
16700000	19437	209125	17445	51233
16750000	19443	209322	17448	51247
16800000	19453	209515	17451	51261
16850000	19462	209695	17457	51272
16900000	19469	209906	17462	51287
16950000	19474	210102	17463	51299
17000000	19485	210295	17468	51320
17050000	19488	210489	17470	51336
17100000	19492	210681	17472	51353
17150000	19501	210874	17477	51377
17200000	19507	211091	17480	51394
17250000	19510	211281	17482	51408
17300000	19516	211468	17486	51420
17350000	19520	211663	17487	51435
17400000	19526	211847	17490	51448
17450000	19533	212027	17493	51458
17500000	19542	212184	17499	51473
17550000	19546	212382	17502	51489
17600000	19553	212568	17506	51505
17650000	19559	212767	17508	51514
17700000	19564	212953	17510	51536
17750000	19569	213135	17513	51551
17800000	19573	213316	17516	51572
17850000	19578	213528	17518	51587
17900000	19583	213738	17520	51602
17950000	19589	213926	17523	51623
18000000	19596	214113	17525	51639
18050000	19602	214283	17528	51660
18100000	19608	214435	17533	51678
18150000	19616	214618	17540	51698
18200000	19620	214806	17544	51712
18250000	19628	214983	17548	51719
18300000	19631	215170	17549	51730
18350000	19637	215348	17554	51746
18400000	19646	215509	17558	51766
18450000	19651	215693	17563	51786
18500000	19657	215875	17567	51802
18550000	19662	216061	17569	51821
18600000	19667	216231	17573	51836
18650000	19676	216416	17579	51851
18700000	19677	216613	17579	51869
18750000	19686	216788	17586	51880
18800000	19688	216951	17588	51894
18850000	19696	217137	17593	51914
18900000	19698	217277	17594	51927
18950000	19700	217447	17596	51944
19000000	19704	217615	17598	51957
19050000	19711	217777	17601	51967
19100000	19718	217923	17607	51981
19150000	19724	218071	17611	51992
19200000	19725	218236	17612	51999
19250000	19733	218410	17616	52011
19300000	19738	218549	17620	52024
19350000	19743	218703	17623	52035
19400000	19747	218873	17627	52050
19450000	19749	219046	17629	52066
19500000	19756	219187	17632	52077
19550000	19766	219336	17639	52088
19600000	19773	219506	17642	52103
19650000	19777	219652	17644	52117
19700000	19787	219825	17651	52133
19750000	19791	219978	17652	52141
19800000	19794	220154	17654	52159
19850000	19800	220317	17657	52169
19900000	19806	220469	17661	52179
19950000	19811	220641	17664	52199
20000000	19813	220789	17665	52212
20050000	19818	220933	17668	52224
20100000	19821	221098	17670	52231
20150000	19827	221269	17673	52240
20200000	19831	221402	17676	52255
20250000	19836	221547	17680	52262
20300000	19844	221681	17685	52271
20350000	19846	221839	17686	52282
20400000	19852	221981	17688	52292
20450000	19858	222110	17692	52302
20500000	19861	222263	17695	52314
20550000	19865	222430	17698	52323
20600000	19866	222547	17698	52336
20650000	19874	222701	17705	52353
20700000	19876	222849	17706	52365
20750000	19879	222958	17707	52369
20800000	19884	223117	17709	52384
20850000	19890	223254	17714	52397
20900000	19894	223370	17715	52406
20950000	19896	223515	17717	52415
21000000	19902	223642	17722	52428
21050000	19908	223788	17724	52442
21100000	19916	223929	17729	52456
21150000	19924	224070	17734	52466
21200000	19926	224202	17734	52476
21250000	19927	224318	17735	52485
21300000	19932	224453	17738	52492
21350000	19937	224581	17743	52499
21400000	19938	224717	17743	52507
21450000	19945	224855	17748	52516
21500000	19947	225004	17750	52531
21550000	19950	225146	17752	52541
21600000	19953	225278	17755	52548
21650000	19958	225411	17758	52558
21700000	19959	225547	17758	52571
21750000	19967	225691	17763	52582
21800000	19971	225800	17765	52594
21850000	19977	225939	17768	52605
21900000	19981	226063	17769	52613
21950000	19985	226202	17772	52624
22000000	19987	226337	17774	52640
